Voucher No.,Date,Particulars,Category,Type,Quantity,AltUnits,Rate,INRvalue,Distributors
PFRN/21-22/1776,10-11-2021,"Lotus 54"" Rose Pink",Lotus,Sales,26.53,500,15,7500,Anantadeb Madanmohan & Co.
PFRN/21-22/1776,10-11-2021,"Lotus 54"" Sky Blue",Lotus,Sales,90.85,1750,15,26250,Anantadeb Madanmohan & Co.
PFRN/21-22/1776,10-11-2021,"Lotus 54"" Light Sea Green",Lotus,Sales,76.16,1500,15,22500,Anantadeb Madanmohan & Co.
PFRN/21-22/1776,10-11-2021,"Lotus 54"" Badam Pink",Lotus,Sales,37.94,750,15,11250,Anantadeb Madanmohan & Co.
PFRN/21-22/1776,10-11-2021,"Hanuman 54""blue",Hanuman,Sales,498.72,12000,12,144000,Anantadeb Madanmohan & Co.
PFRN/21-22/1776,10-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,297.8,3750,20,75000,Anantadeb Madanmohan & Co.
PFRN/21-22/1776,10-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,534.86,7500,18,135000,Anantadeb Madanmohan & Co.
PFRN/21-22/1818,15-11-2021,"Lotus 54"" Rose Pink",Lotus,Sales,26.72,500,15,7500,Anantadeb Madanmohan & Co.
PFRN/21-22/1818,15-11-2021,"Lotus 54"" Sky Blue",Lotus,Sales,88.13,1750,15,26250,Anantadeb Madanmohan & Co.
PFRN/21-22/1818,15-11-2021,"Lotus 54"" Light Sea Green",Lotus,Sales,75.67,1500,15,22500,Anantadeb Madanmohan & Co.
PFRN/21-22/1818,15-11-2021,"Lotus 54"" Badam Pink",Lotus,Sales,37.57,750,15,11250,Anantadeb Madanmohan & Co.
PFRN/21-22/1818,15-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,289.75,3750,258.84,75000,Anantadeb Madanmohan & Co.
PFRN/21-22/1818,15-11-2021,"Priyadarshini 54"" Zebra",Priyadarshini,Sales,266.28,3750,18,67500,Anantadeb Madanmohan & Co.
PFRN/21-22/1818,15-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,265.12,3750,18,67500,Anantadeb Madanmohan & Co.
PFRN/21-22/1818,15-11-2021,"Hanuman 54""blue",Hanuman,Sales,1258.23,30000,12,360000,Anantadeb Madanmohan & Co.
PFRN/21-22/1818,15-11-2021,"Lotus 54"" Violet",Lotus,Sales,27.4,500,15,7500,Anantadeb Madanmohan & Co.
PFRN/21-22/1832,17-11-2021,20MESHMQ84BLUE,Mesh_Fabrics,Sales,255.8,1500,36,54000,Anantadeb Madanmohan & Co.
PFRN/21-22/1832,17-11-2021,"Lotus 54"" Violet",Lotus,Sales,27.4,500,15,7500,Anantadeb Madanmohan & Co.
PFRN/21-22/1832,17-11-2021,"Lotus 54"" Rose Pink",Lotus,Sales,26.66,500,15,7500,Anantadeb Madanmohan & Co.
PFRN/21-22/1832,17-11-2021,"Lotus 54"" Sky Blue",Lotus,Sales,88.41,1750,15,26250,Anantadeb Madanmohan & Co.
PFRN/21-22/1832,17-11-2021,"Lotus 54"" Light Sea Green",Lotus,Sales,74.88,1500,15,22500,Anantadeb Madanmohan & Co.
PFRN/21-22/1832,17-11-2021,"Lotus 54"" Badam Pink",Lotus,Sales,37.69,750,15,11250,Anantadeb Madanmohan & Co.
PFRN/21-22/1832,17-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,265.12,3750,18,67500,Anantadeb Madanmohan & Co.
PFRN/21-22/1832,17-11-2021,"Priyadarshini 54"" Zebra",Priyadarshini,Sales,266.28,3750,18,67500,Anantadeb Madanmohan & Co.
PFRN/21-22/1832,17-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,304.49,3750,20,75000,Anantadeb Madanmohan & Co.
PFRN/21-22/1832,17-11-2021,"Suvasini 54""Blue",Suvasini,Sales,1097.52,20000,14.5,290000,Anantadeb Madanmohan & Co.
PFRN/21-22/1846,18-11-2021,"20MESHMQ42""RP.BLUE",Mesh_Fabrics,Sales,1104.1,12000,163.03,180000,Anantadeb Madanmohan & Co.
PFRN/21-22/1846,18-11-2021,"20 MQ 42"" White",Mesh_Fabrics,Sales,499.92,6000,228.04,114000,Anantadeb Madanmohan & Co.
PFRN/21-22/1846,18-11-2021,"20MESHMQ84""SF BLUE",Mesh_Fabrics,Sales,1105.46,7200,221.45,244800,Anantadeb Madanmohan & Co.
PFRN/21-22/1860,20-11-2021,"20MQ 42"" BLUE",Mesh_Fabrics,Sales,106.4,1200,19,22800,Anantadeb Madanmohan & Co.
PFRN/21-22/1861,20-11-2021,"Priyalite 60""Sea Green",Priyalite,Sales,105.78,1500,17,25500,Anantadeb Madanmohan & Co.
PFRN/21-22/1892,23-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,224.61,3750,16,60000,Anantadeb Madanmohan & Co.
PFRN/21-22/1892,23-11-2021,"Priyalite 54"" Sea Green",Priyalite,Sales,463.95,7500,16,120000,Anantadeb Madanmohan & Co.
PFRN/21-22/1892,23-11-2021,"Lotus 54"" Violet",Lotus,Sales,49.84,1000,15,15000,Anantadeb Madanmohan & Co.
PFRN/21-22/1892,23-11-2021,"Lotus 54"" Rose Pink",Lotus,Sales,52.22,1000,15,15000,Anantadeb Madanmohan & Co.
PFRN/21-22/1892,23-11-2021,"Lotus 54"" Sky Blue",Lotus,Sales,177.12,3500,15,52500,Anantadeb Madanmohan & Co.
PFRN/21-22/1892,23-11-2021,"Lotus 54"" Light Sea Green",Lotus,Sales,149.62,3000,15,45000,Anantadeb Madanmohan & Co.
PFRN/21-22/1892,23-11-2021,"Lotus 54"" Badam Pink",Lotus,Sales,75.88,1500,15,22500,Anantadeb Madanmohan & Co.
PFRN/21-22/1893,23-11-2021,"Priyalite 54"" Blue",Priyalite,Sales,216.97,3750,16,60000,Anantadeb Madanmohan & Co.
PFRN/21-22/1893,23-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,529.62,7500,18,135000,Anantadeb Madanmohan & Co.
PFRN/21-22/1893,23-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,591.85,7500,20,150000,Anantadeb Madanmohan & Co.
PFRN/21-22/1901,24-11-2021,"Hanuman 54""blue",Hanuman,Sales,1013.43,24000,12,288000,Anantadeb Madanmohan & Co.
PFRN/21-22/1901,24-11-2021,"Suvasini 54""Blue",Suvasini,Sales,817.56,15000,14.5,217500,Anantadeb Madanmohan & Co.
PFRN/21-22/1901,24-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,532.55,7500,18,135000,Anantadeb Madanmohan & Co.
PFRN/21-22/1911,25-11-2021,"Priyadarshini 54"" Zebra",Priyadarshini,Sales,264.58,3750,18,67500,Anantadeb Madanmohan & Co.
PFRN/21-22/1911,25-11-2021,"Suvasini 54""Blue",Suvasini,Sales,2376.33,45000,14.5,652500,Anantadeb Madanmohan & Co.
PFRN/21-22/1930,26-11-2021,"20MESHMQ42""RP.BLUE",Mesh_Fabrics,Sales,256.24,3000,15,45000,Anantadeb Madanmohan & Co.
PFRN/21-22/1930,26-11-2021,"30 LQ 42"" White",Mesh_Fabrics,Sales,232.16,4500,15,67500,Anantadeb Madanmohan & Co.
PFRN/21-22/1930,26-11-2021,"20MQ 42"" BLACK",Mesh_Fabrics,Sales,484,6000,16,96000,Anantadeb Madanmohan & Co.
PFRN/21-22/1930,26-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,597.95,7500,20,150000,Anantadeb Madanmohan & Co.
PFRN/21-22/1930,26-11-2021,"30 LQ 42"" Blue",Mesh_Fabrics,Sales,225.62,4500,15,67500,Anantadeb Madanmohan & Co.
PFRN/21-22/1930,26-11-2021,"20 HQ 48""ivory",Mesh_Fabrics,Sales,61.38,450,35,15750,Anantadeb Madanmohan & Co.
PFRN/21-22/1930,26-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,521.78,7500,18,135000,Anantadeb Madanmohan & Co.
PFRN/21-22/1759,08-11-2021,"20 MeshMQ84"" RP Light Blue",Mesh_Fabrics,Sales,580.36,3600,29,104400,A R Traders
PFRN/21-22/1759,08-11-2021,"Priyadarshini 60""Blue",Priyadarshini,Sales,294.55,3750,20,75000,A R Traders
PFRN/21-22/1759,08-11-2021,"24MESHLQ84""BLUE",Mesh_Fabrics,Sales,226.7,2250,28,63000,A R Traders
PFRN/21-22/1760,08-11-2021,"24 LQ 42"" White",Mesh_Fabrics,Sales,91.7,1800,14.5,26100,A R Traders
PFRN/21-22/1760,08-11-2021,"Hanuman 54""blue",Hanuman,Sales,49.51,1200,13,15600,A R Traders
PFRN/21-22/1786,11-11-2021,"30 LQ 42"" Blue",Mesh_Fabrics,Sales,145.36,2700,15,40500,A R Traders
PFRN/21-22/1802,12-11-2021,"24MESHLQ84""BLUE",Mesh_Fabrics,Sales,971.51,9900,28,277200,A R Traders
PFRN/21-22/1820,15-11-2021,"60 LQ 42""  White",Mesh_Fabrics,Sales,120,1800,22,39600,A R Traders
PFRN/21-22/1820,15-11-2021,"40 LQ 48"" XX White",Mesh_Fabrics,Sales,58.5,900,18,16200,A R Traders
PFRN/21-22/1822,15-11-2021,"24MESHLQ84""BLUE",Mesh_Fabrics,Sales,673.96,6750,28,189000,A R Traders
PFRN/21-22/1824,15-11-2021,"24MESHLQ84""BLUE",Mesh_Fabrics,Sales,671.2,6750,28,189000,A R Traders
PFRN/21-22/1839,18-11-2021,"60 LQ 42""  White",Mesh_Fabrics,Sales,204.75,2700,22,59400,A R Traders
PFRN/21-22/1839,18-11-2021,"24 LQ 42"" White",Mesh_Fabrics,Sales,137.48,2700,14.5,39150,A R Traders
PFRN/21-22/1839,18-11-2021,"30 LQ 42"" White",Mesh_Fabrics,Sales,142.54,2700,15,40500,A R Traders
PFRN/21-22/1906,24-11-2021,"30 LQ 42"" White",Mesh_Fabrics,Sales,142.2,2700,15,40500,A R Traders
PFRN/21-22/1906,24-11-2021,"20 MQ 48"" White",Mesh_Fabrics,Sales,251.44,2400,24,57600,A R Traders
PFRN/21-22/1941,27-11-2021,40MQ60white,Mesh_Fabrics,Sales,360.2,4500,25,112500,A R Traders
PFRN/21-22/1941,27-11-2021,"40 MESH MQ 84"" M.WHITE",Mesh_Fabrics,Sales,518.7,6000,25,150000,A R Traders
PFRN/21-22/1865,20-11-2021,"20MESHMQ84""ORANGE",Mesh_Fabrics,Sales,802.25,5400,31.5,170100,Fair Deal Traders
PFRN/21-22/1865,20-11-2021,20 MESH MQ 84 Radium Green,Mesh_Fabrics,Sales,829.37,5400,31.5,170100,Fair Deal Traders
PFRN/21-22/1910,25-11-2021,"Heera Panna 54"" Sky Blue",HeeraPanna,Sales,644.28,11000,14.5,159500,Fair Deal Traders
PFRN/21-22/1916,25-11-2021,"Heera Panna 54"" Sky Blue",HeeraPanna,Sales,639.4,11000,14.5,159500,Fair Deal Traders
PFRN/21-22/1924,25-11-2021,"20MESHMQ84""LIGHT ORANGE",Mesh_Fabrics,Sales,1291.87,8970,29,260130,Fair Deal Traders
PFRN/21-22/1924,25-11-2021,"20MESHMQ84""ORANGE",Mesh_Fabrics,Sales,1103.66,7200,31.5,226800,Fair Deal Traders
PFRN/21-22/1924,25-11-2021,20 MESH MQ 84 Radium Green,Mesh_Fabrics,Sales,535.03,3600,31.5,113400,Fair Deal Traders
PFRN/21-22/1940,27-11-2021,"20MESHMQ84""SF BLUE",Mesh_Fabrics,Sales,875.73,5400,31.5,170100,Fair Deal Traders
PFRN/21-22/1940,27-11-2021,"20MESHMQ84""GREEN",Mesh_Fabrics,Sales,429.5,2880,31.5,90720,Fair Deal Traders
PFRN/21-22/1765,09-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,327.36,4000,21,84000,Goutam Enterprises
PFRN/21-22/1765,09-11-2021,"Kangaroo Fabric 54""White",Kangaroo,Sales,610.8,7500,22,165000,Goutam Enterprises
PFRN/21-22/1876,22-11-2021,"20MESHMQ84""GREEN",Mesh_Fabrics,Sales,107.37,720,34,24480,M/s Parameshwa Rao Traders
PFRN/21-22/1876,22-11-2021,"20MESHMQ84""IVORY",Mesh_Fabrics,Sales,200,1200,36,43200,M/s Parameshwa Rao Traders
PFRN/21-22/1735,02-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,570,6000,17.71,106260,MTR Foods Private Limited
PFRN/21-22/1735,02-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,418.2,5100,15.07,76857,MTR Foods Private Limited
PFRN/21-22/1735,02-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,98.4,1200,15.07,18084,MTR Foods Private Limited
PFRN/21-22/1784,11-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,492,6000,15.85,95100,MTR Foods Private Limited
PFRN/21-22/1784,11-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,121.2,1276,18.64,23784.64,MTR Foods Private Limited
PFRN/21-22/1784,11-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,193.8,2400,15.85,38040,MTR Foods Private Limited
PFRN/21-22/1784,11-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,246,3000,15.85,47550,MTR Foods Private Limited
PFRN/21-22/1785,11-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,24.6,300,15.07,4521,MTR Foods Private Limited
PFRN/21-22/1833,17-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,27,300,17.52,5256,MTR Foods Private Limited
PFRN/21-22/1833,17-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,24.6,300,15.07,4521,MTR Foods Private Limited
PFRN/21-22/1833,17-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,73.8,900,15.07,13563,MTR Foods Private Limited
PFRN/21-22/1833,17-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,24.6,300,15.85,4755,MTR Foods Private Limited
PFRN/21-22/1833,17-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,196.8,2400,15.85,38040,MTR Foods Private Limited
PFRN/21-22/1833,17-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,664.2,8100,15.85,128385,MTR Foods Private Limited
PFRN/21-22/1902,24-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,98.4,1200,15.07,18084,MTR Foods Private Limited
PFRN/21-22/1902,24-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,246,3000,15.85,47550,MTR Foods Private Limited
PFRN/21-22/1902,24-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,418.2,5100,15.85,80835,MTR Foods Private Limited
PFRN/21-22/1902,24-11-2021,PP Woven Sacks,Mesh_Fabrics,Sales,492,6000,15.85,95100,MTR Foods Private Limited
PFRN/21-22/1750,06-11-2021,"Priyadarshini 120"" Blue",Priyadarshini,Sales,126.09,800,34,27200,Patra Enterprises
PFRN/21-22/1750,06-11-2021,"Hanuman 54""blue",Hanuman,Sales,246.03,6000,6.5,39000,Patra Enterprises
PFRN/21-22/1750,06-11-2021,"Priyalite 54"" Blue",Priyalite,Sales,287.74,5000,9,45000,Patra Enterprises
PFRN/21-22/1751,06-11-2021,"Suvasini 60"" Blue",Suvasini,Sales,216.49,3600,9.5,34200,Patra Enterprises
PFRN/21-22/1751,06-11-2021,"Priyadarshini 60""Blue",Priyadarshini,Sales,234.87,3000,12,36000,Patra Enterprises
PFRN/21-22/1751,06-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,213.45,3000,10,30000,Patra Enterprises
PFRN/21-22/1763,08-11-2021,"40 LQ 42""  White",Mesh_Fabrics,Sales,313.95,4500,11,49500,Patra Enterprises
PFRN/21-22/1863,20-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,307.52,3750,13,48750,Patra Enterprises
PFRN/21-22/1863,20-11-2021,"Hanuman 54""blue",Hanuman,Sales,251.2,6000,6.5,39000,Patra Enterprises
PFRN/21-22/1864,20-11-2021,"Priyalite 54"" Blue",Priyalite,Sales,289.85,5000,9,45000,Patra Enterprises
PFRN/21-22/1864,20-11-2021,"Suvasini 54""Blue",Suvasini,Sales,279.35,5000,7,35000,Patra Enterprises
PFRN/21-22/1819,15-11-2021,"Kangaroo Fabric 60"" Blue",Kangaroo,Sales,345.51,3750,25,93750,Raghunath Agarwala
PFRN/21-22/1848,19-11-2021,"Kangaroo Fabric 120""Blue",Kangaroo,Sales,107.16,600,52,31200,Raghunath Agarwala
PFRN/21-22/1848,19-11-2021,"Priyadarshini 120"" Blue",Priyadarshini,Sales,61.7,400,44,17600,Raghunath Agarwala
PFRN/21-22/1778,11-11-2021,"Hanuman 54""blue",Hanuman,Sales,154.4,3600,12,43200,Shew Pratap Nathmull Co.
PFRN/21-22/1779,11-11-2021,"Suvasini 54""Blue",Suvasini,Sales,146.77,2700,14.5,39150,Shew Pratap Nathmull Co.
PFRN/21-22/1780,11-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,159.55,2250,18,40500,Shew Pratap Nathmull Co.
PFRN/21-22/1781,11-11-2021,"40 LQ 42""  White",Mesh_Fabrics,Sales,61.74,900,20,18000,Shew Pratap Nathmull Co.
PFRN/21-22/1782,11-11-2021,"24 LQ 42"" White",Mesh_Fabrics,Sales,45.8,900,13,11700,Shew Pratap Nathmull Co.
PFRN/21-22/1790,12-11-2021,"Hanuman 54""blue",Hanuman,Sales,153.52,3600,12,43200,Shew Pratap Nathmull Co.
PFRN/21-22/1791,12-11-2021,"20MESHMQ84""SF BLUE",Mesh_Fabrics,Sales,108.56,720,34,24480,Shew Pratap Nathmull Co.
PFRN/21-22/1792,12-11-2021,"30 LQ 42"" White",Mesh_Fabrics,Sales,48.16,900,15,13500,Shew Pratap Nathmull Co.
PFRN/21-22/1792,12-11-2021,"30 LQ 42"" Green",Mesh_Fabrics,Sales,44.48,900,15,13500,Shew Pratap Nathmull Co.
PFRN/21-22/1792,12-11-2021,"30 LQ 42"" Blue",Mesh_Fabrics,Sales,47,900,15,13500,Shew Pratap Nathmull Co.
PFRN/21-22/1793,12-11-2021,"20MESHMQ84""WHITE",Mesh_Fabrics,Sales,99.42,600,37,22200,Shew Pratap Nathmull Co.
PFRN/21-22/1794,12-11-2021,"Kangaroo Fabric 84"" Blue",Kangaroo,Sales,62.12,500,32,16000,Shew Pratap Nathmull Co.
PFRN/21-22/1794,12-11-2021,"Suvasini 110"" Blue",Suvasini,Sales,52.7,500,30,15000,Shew Pratap Nathmull Co.
PFRN/21-22/1795,12-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,159.11,2250,18,40500,Shew Pratap Nathmull Co.
PFRN/21-22/1796,12-11-2021,"Suvasini 54""Blue",Suvasini,Sales,144.84,2700,14.5,39150,Shew Pratap Nathmull Co.
PFRN/21-22/1828,16-11-2021,"Priyalite 54"" Blue",Priyalite,Sales,174.18,3000,10,30000,Shew Pratap Nathmull Co.
PFRN/21-22/1829,16-11-2021,"Suvasini 54""Blue",Suvasini,Sales,376.4,7200,9,64800,Shew Pratap Nathmull Co.
PFRN/21-22/1849,19-11-2021,"Hanuman 54""blue",Hanuman,Sales,146.21,3600,12,43200,Shew Pratap Nathmull Co.
PFRN/21-22/1850,19-11-2021,"Suvasini 54""Blue",Suvasini,Sales,143.12,2700,14.5,39150,Shew Pratap Nathmull Co.
PFRN/21-22/1851,19-11-2021,"Suvasini 54""Blue",Suvasini,Sales,144.02,2700,14.5,39150,Shew Pratap Nathmull Co.
PFRN/21-22/1852,19-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,158.78,2250,18,40500,Shew Pratap Nathmull Co.
PFRN/21-22/1878,22-11-2021,"20MESHMQ84""WHITE",Mesh_Fabrics,Sales,97.43,600,37,22200,Shew Pratap Nathmull Co.
PFRN/21-22/1879,22-11-2021,"20MESHMQ84""SF BLUE",Mesh_Fabrics,Sales,111.64,720,34,24480,Shew Pratap Nathmull Co.
PFRN/21-22/1880,22-11-2021,"40 LQ 42""ZZ  White",Mesh_Fabrics,Sales,97.96,2400,12,28800,Shew Pratap Nathmull Co.
PFRN/21-22/1881,22-11-2021,"Suvasini 54""Blue",Suvasini,Sales,145.18,2700,14.5,39150,Shew Pratap Nathmull Co.
PFRN/21-22/1882,22-11-2021,"Suvasini 54""Blue",Suvasini,Sales,145.21,2700,14.5,39150,Shew Pratap Nathmull Co.
PFRN/21-22/1883,22-11-2021,"Hanuman 54""blue",Hanuman,Sales,147.04,3600,12,43200,Shew Pratap Nathmull Co.
PFRN/21-22/1884,22-11-2021,"Hanuman 54""blue",Hanuman,Sales,145.08,3600,12,43200,Shew Pratap Nathmull Co.
PFRN/21-22/1885,22-11-2021,"Suvasini 60"" Blue",Suvasini,Sales,54.36,900,15.5,13950,Shew Pratap Nathmull Co.
PFRN/21-22/1885,22-11-2021,"Priyadarshini 60""Blue",Priyadarshini,Sales,58.34,750,19,14250,Shew Pratap Nathmull Co.
PFRN/21-22/1904,24-11-2021,"20MESHMQ84""WHITE",Mesh_Fabrics,Sales,145.56,900,37,33300,Shew Pratap Nathmull Co.
PFRN/21-22/1905,24-11-2021,"20MESHMQ84""SF BLUE",Mesh_Fabrics,Sales,162,1080,34,36720,Shew Pratap Nathmull Co.
PFRN/21-22/1917,25-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,158.85,2250,18,40500,Shew Pratap Nathmull Co.
PFRN/21-22/1918,25-11-2021,"24 LQ 42"" White",Mesh_Fabrics,Sales,137,2700,13,35100,Shew Pratap Nathmull Co.
PFRN/21-22/1919,25-11-2021,"40 LQ 42""ZZ  White",Mesh_Fabrics,Sales,138.8,3600,12,43200,Shew Pratap Nathmull Co.
PFRN/21-22/1920,25-11-2021,"20 MQ 42"" White",Mesh_Fabrics,Sales,98.9,1200,20,24000,Shew Pratap Nathmull Co.
PFRN/21-22/1921,25-11-2021,"20 Mesh MQ84"" Premium White",Mesh_Fabrics,Sales,52.8,360,32,11520,Shew Pratap Nathmull Co.
PFRN/21-22/1738,04-11-2021,"Kangaroo Fabric 120""Blue",Kangaroo,Sales,46.2,276,52,14352,Sri Balaji Trading Co.
PFRN/21-22/1738,04-11-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,542.08,10800,14,151200,Sri Balaji Trading Co.
PFRN/21-22/1754,06-11-2021,"24MESHLQ84""BLUE",Mesh_Fabrics,Sales,178.28,1800,30,54000,Sri Balaji Trading Co.
PFRN/21-22/1762,08-11-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,539.03,10800,14,151200,Sri Balaji Trading Co.
PFRN/21-22/1762,08-11-2021,"30 Mesh MQ 42"" Blue",Mesh_Fabrics,Sales,60.33,900,20,18000,Sri Balaji Trading Co.
PFRN/21-22/1762,08-11-2021,"20MESHMQ42""RP.BLUE",Mesh_Fabrics,Sales,193.5,2250,17,38250,Sri Balaji Trading Co.
PFRN/21-22/1805,12-11-2021,"Priyalite 54"" Blue",Priyalite,Sales,59.51,1000,16,16000,Sri Balaji Trading Co.
PFRN/21-22/1805,12-11-2021,"Priyalite 54"" Sea Green",Priyalite,Sales,60.64,1000,16,16000,Sri Balaji Trading Co.
PFRN/21-22/1805,12-11-2021,"24MESHLQ84""BLUE",Mesh_Fabrics,Sales,87.6,900,30,27000,Sri Balaji Trading Co.
PFRN/21-22/1821,15-11-2021,"20MESHMQ42""RP.BLUE",Mesh_Fabrics,Sales,57.04,600,17,10200,Sri Balaji Trading Co.
PFRN/21-22/1821,15-11-2021,"Kangaroo Fabric 120""Blue",Kangaroo,Sales,56.16,300,52,15600,Sri Balaji Trading Co.
PFRN/21-22/1821,15-11-2021,"40 LQ 42""  White",Mesh_Fabrics,Sales,119.4,1800,20,36000,Sri Balaji Trading Co.
PFRN/21-22/1845,18-11-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,562.04,10800,9.4,101520,Sri Balaji Trading Co.
PFRN/21-22/1898,23-11-2021,"40 LQ 42""  White",Mesh_Fabrics,Sales,119.1,1800,20,36000,Sri Balaji Trading Co.
PFRN/21-22/1898,23-11-2021,"Kangaroo Fabric 120""Blue",Kangaroo,Sales,53.41,300,52,15600,Sri Balaji Trading Co.
PFRN/21-22/1898,23-11-2021,"60 HQ 42""  White",Mesh_Fabrics,Sales,60.28,600,41,24600,Sri Balaji Trading Co.
PFRN/21-22/1898,23-11-2021,"40 Mesh Hq 48"" S.White",Mesh_Fabrics,Sales,9.46,60,45,2700,Sri Balaji Trading Co.
PFRN/21-22/1898,23-11-2021,"40 HQ 42"" White",Mesh_Fabrics,Sales,166.76,1650,31,51150,Sri Balaji Trading Co.
PFRN/21-22/1907,24-11-2021,"Priyalite 54"" Sea Green",Priyalite,Sales,235.14,4000,16,64000,Sri Balaji Trading Co.
PFRN/21-22/1907,24-11-2021,20MESHMQ84BLUE,Mesh_Fabrics,Sales,154.02,900,35,31500,Sri Balaji Trading Co.
PFRN/21-22/1938,27-11-2021,"20 MQ 42"" White",Mesh_Fabrics,Sales,24.3,300,20,6000,Sri Balaji Trading Co.
PFRN/21-22/1938,27-11-2021,"20MQ 42"" BLUE",Mesh_Fabrics,Sales,26.84,300,20,6000,Sri Balaji Trading Co.
PFRN/21-22/1938,27-11-2021,"24 LQ 42"" Blue",Mesh_Fabrics,Sales,546.24,10800,14,151200,Sri Balaji Trading Co.
PFRN/21-22/1942,27-11-2021,"Priyalite 54"" Blue",Priyalite,Sales,59.94,1000,16,16000,Sri Balaji Trading Co.
PFRN/21-22/1942,27-11-2021,"Priyalite 54"" Sea Green",Priyalite,Sales,236.65,4000,16,64000,Sri Balaji Trading Co.
PFRN/21-22/1730,02-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,303.14,3750,20,75000,Srilal Pachisia & Co.
PFRN/21-22/1731,02-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,302.79,3750,20,75000,Srilal Pachisia & Co.
PFRN/21-22/1732,02-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,267.75,3750,18,67500,Srilal Pachisia & Co.
PFRN/21-22/1745,06-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,298.3,3750,20,75000,Srilal Pachisia & Co.
PFRN/21-22/1746,06-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,299.51,3750,20,75000,Srilal Pachisia & Co.
PFRN/21-22/1747,06-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,265.85,3750,18,67500,Srilal Pachisia & Co.
PFRN/21-22/1748,06-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,265.66,3750,18,67500,Srilal Pachisia & Co.
PFRN/21-22/1797,12-11-2021,"Hanuman 54""blue",Hanuman,Sales,256.34,6000,12,72000,Srilal Pachisia & Co.
PFRN/21-22/1798,12-11-2021,"Suvasini 54""Blue",Suvasini,Sales,240.63,4500,14.5,65250,Srilal Pachisia & Co.
PFRN/21-22/1799,12-11-2021,"Suvasini 54""Blue",Suvasini,Sales,243.26,4500,14.5,65250,Srilal Pachisia & Co.
PFRN/21-22/1840,18-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,267.84,3750,18,67500,Srilal Pachisia & Co.
PFRN/21-22/1841,18-11-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,268.3,3750,18,67500,Srilal Pachisia & Co.
PFRN/21-22/1842,18-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,298.3,3750,20,75000,Srilal Pachisia & Co.
PFRN/21-22/1843,18-11-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,298.58,3750,20,75000,Srilal Pachisia & Co.
PFRN/21-22/1844,18-11-2021,"Lotus 54"" Violet",Lotus,Sales,25.71,500,15,7500,Srilal Pachisia & Co.
